KML2x Export:,,
Units: Lat/Lon (Decimal degrees),,
Datum: WGS84,,
id,Circuit du Championez en Loughborough,vertex: 284
,,
Longitude,Latitude,Elevation
-1.22461,52.76917,0
-1.22469,52.76913,0
-1.22471,52.76912,0
-1.22479,52.76908,0
-1.22484,52.76906,0
-1.22526,52.76893,0
-1.22574,52.76885,0
-1.22589,52.76882,0
-1.22612,52.76878,0
-1.22642,52.76873,0
-1.22685,52.76861,0
-1.22695,52.76859,0
-1.22714,52.76853,0
-1.22753,52.76838,0
-1.22773,52.76826,0
-1.22791,52.76815,0
-1.22818,52.7679,0
-1.22823,52.76786,0
-1.22857,52.76758,0
-1.22861,52.76754,0
-1.22869,52.76747,0
-1.22877,52.76742,0
-1.22884,52.76737,0
-1.22895,52.76727,0
-1.22897,52.76724,0
-1.22899,52.76718,0
-1.22899,52.76714,0
-1.22897,52.76709,0
-1.22894,52.76705,0
-1.2289,52.767,0
-1.2288,52.76692,0
-1.22872,52.76687,0
-1.22861,52.76682,0
-1.22869,52.76675,0
-1.22871,52.76673,0
-1.22873,52.76671,0
-1.22884,52.76663,0
-1.22892,52.76658,0
-1.22901,52.76653,0
-1.22913,52.76647,0
-1.22931,52.76637,0
-1.22951,52.76628,0
-1.22952,52.76628,0
-1.23012,52.76601,0
-1.23035,52.76591,0
-1.23083,52.76566,0
-1.23101,52.76557,0
-1.23104,52.76555,0
-1.23105,52.76554,0
-1.23108,52.76551,0
-1.23113,52.76545,0
-1.23115,52.7654,0
-1.23125,52.76528,0
-1.23133,52.76521,0
-1.23143,52.76514,0
-1.23147,52.76512,0
-1.2316,52.76504,0
-1.23173,52.76498,0
-1.23187,52.76495,0
-1.23202,52.76493,0
-1.23215,52.76489,0
-1.23285,52.76482,0
-1.23301,52.76477,0
-1.2331,52.76473,0
-1.2332,52.76468,0
-1.2333,52.76463,0
-1.23355,52.76444,0
-1.23388,52.7642,0
-1.23418,52.76399,0
-1.23439,52.76386,0
-1.23462,52.76374,0
-1.2358,52.76323,0
-1.23594,52.76317,0
-1.23628,52.763,0
-1.23643,52.76293,0
-1.23663,52.76284,0
-1.237,52.76268,0
-1.23739,52.76251,0
-1.23767,52.76241,0
-1.23789,52.76256,0
-1.23834,52.76292,0
-1.2386,52.76305,0
-1.24058,52.76218,0
-1.24178,52.76164,0
-1.24199,52.76154,0
-1.24204,52.76152,0
-1.24248,52.76133,0
-1.24285,52.76116,0
-1.24306,52.76107,0
-1.24319,52.76102,0
